ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Tarifa
2576,2022-01-24,GRU,FLN,2.9,386.2,579.3,0,Alta,11,87%,SkyFast Airlines,Promocional
2577,2023-08-21,GIG,CGH,1.2,119.19,214.54,0,Normal,58,86%,SkyFast Airlines,Standard
2578,2022-09-20,SSA,GRU,1.2,164.61,296.3,0,Normal,52,87%,SkyFast Airlines,Promocional
2579,2022-11-28,FLN,VIX,1.8,248.76,447.77,0,Normal,24,91%,SkyFast Airlines,Flex
2580,2023-05-10,VIX,FLN,1.4,150.51,225.76,0,Normal,24,89%,SkyFast Airlines,Promocional
2581,2022-02-18,VIX,CWB,3.0,526.45,789.68,0,Alta,42,91%,SkyFast Airlines,Promocional
2582,2023-03-05,FOR,REC,1.3,99.0,199.0,0,Normal,4,87%,SkyFast Airlines,Flex
2583,2023-02-27,REC,VIX,1.9,397.22,595.83,0,Alta,36,91%,SkyFast Airlines,Promocional
2584,2020-06-09,FOR,SSA,1.3,99.0,199.0,0,Normal,44,76%,SkyFast Airlines,Standard
2585,2023-12-17,POA,GIG,3.2,362.14,543.21,0,Alta,51,87%,SkyFast Airlines,Promocional
2586,2022-07-04,GRU,BSB,1.6,253.09,455.56,0,Alta,45,87%,SkyFast Airlines,Promocional
2587,2023-01-05,CWB,GIG,1.4,206.56,371.81,0,Alta,11,88%,SkyFast Airlines,Flex
2588,2021-05-09,GIG,POA,2.7,207.76,311.64,0,Normal,10,77%,SkyFast Airlines,Standard
2589,2020-12-04,GRU,VIX,1.8,241.96,435.53,0,Alta,27,80%,SkyFast Airlines,Flex
2590,2019-07-14,CGH,POA,1.6,320.32,480.48,0,Alta,46,92%,SkyFast Airlines,Standard
2591,2021-10-10,CGH,REC,3.4,437.86,788.15,0,Normal,51,80%,SkyFast Airlines,Promocional
2592,2024-04-12,CGH,CWB,3.3,398.09,597.13,0,Normal,3,86%,SkyFast Airlines,Standard
2593,2020-02-18,GIG,VIX,1.7,125.17,199.0,0,Alta,50,70%,SkyFast Airlines,Promocional
2594,2024-03-11,CGH,CNF,2.9,435.79,653.69,0,Normal,37,92%,SkyFast Airlines,Promocional
2595,2021-10-06,POA,SDU,2.2,163.63,294.53,0,Normal,5,80%,SkyFast Airlines,Flex
2596,2024-10-21,BSB,FOR,2.7,529.23,952.61,0,Normal,13,94%,SkyFast Airlines,Flex
2597,2023-12-03,CGH,BSB,2.7,384.43,691.97,0,Alta,53,92%,SkyFast Airlines,Promocional
2598,2024-08-25,SSA,FLN,1.4,160.35,240.52,0,Normal,11,89%,SkyFast Airlines,Standard
2599,2020-02-16,CWB,FOR,1.8,209.2,313.8,0,Alta,36,73%,SkyFast Airlines,Promocional
2600,2022-11-28,VIX,CNF,3.1,285.16,427.74,0,Normal,3,94%,SkyFast Airlines,Promocional
2601,2019-08-01,GIG,REC,2.8,239.49,431.08,0,Normal,34,93%,SkyFast Airlines,Flex
2602,2024-07-21,VIX,GIG,2.5,373.26,559.89,0,Alta,50,95%,SkyFast Airlines,Promocional
2603,2024-01-23,GIG,GRU,1.8,302.57,453.86,0,Alta,1,94%,SkyFast Airlines,Promocional
2604,2023-06-10,CGH,BSB,2.9,258.24,387.36,0,Normal,4,87%,SkyFast Airlines,Flex
2605,2023-01-23,FOR,GIG,3.1,342.78,617.0,0,Alta,25,89%,SkyFast Airlines,Flex
2606,2024-06-06,FOR,POA,1.8,166.78,250.17,0,Normal,59,94%,SkyFast Airlines,Flex
2607,2022-03-20,BSB,FLN,2.3,248.72,447.7,0,Normal,48,95%,SkyFast Airlines,Standard
2608,2023-04-20,FLN,CGH,2.6,372.46,558.69,0,Normal,19,87%,SkyFast Airlines,Standard
2609,2023-03-08,POA,CWB,2.8,262.48,393.72,0,Normal,57,92%,SkyFast Airlines,Flex
2610,2021-02-22,SDU,POA,3.3,304.73,457.1,0,Alta,4,87%,SkyFast Airlines,Standard
2611,2021-02-25,BSB,CGH,3.3,675.38,1013.07,0,Alta,28,90%,SkyFast Airlines,Flex
2612,2022-05-08,FLN,SSA,2.4,299.69,449.53,0,Normal,52,93%,SkyFast Airlines,Standard
2613,2023-05-21,BSB,CNF,1.2,136.56,204.84,0,Normal,12,86%,SkyFast Airlines,Standard
2614,2022-09-02,VIX,POA,1.0,128.13,199.0,0,Normal,8,85%,SkyFast Airlines,Standard
2615,2024-03-04,SDU,REC,1.2,183.59,275.38,0,Normal,49,93%,SkyFast Airlines,Flex
2616,2023-06-06,CWB,SDU,2.4,394.93,710.87,0,Normal,45,85%,SkyFast Airlines,Promocional
2617,2021-07-21,SDU,BSB,1.8,207.07,310.61,0,Alta,52,79%,SkyFast Airlines,Flex
2618,2022-08-19,FLN,SDU,1.1,133.24,199.86,0,Normal,47,85%,SkyFast Airlines,Promocional
2619,2019-05-03,BSB,GIG,3.2,450.9,676.35,0,Normal,37,94%,SkyFast Airlines,Standard
2620,2024-11-23,SSA,CWB,2.4,406.36,609.54,0,Normal,51,95%,SkyFast Airlines,Promocional
2621,2019-09-21,GRU,BSB,2.4,384.53,576.79,0,Normal,29,85%,SkyFast Airlines,Promocional
2622,2024-04-28,POA,SDU,2.8,478.66,717.99,0,Normal,32,90%,SkyFast Airlines,Promocional
2623,2020-01-24,GRU,GIG,3.0,476.99,858.58,0,Alta,15,69%,SkyFast Airlines,Standard
2624,2023-06-18,CWB,VIX,2.3,327.43,491.14,0,Normal,20,93%,SkyFast Airlines,Standard
2625,2020-12-20,CWB,FOR,1.3,160.25,240.38,0,Alta,53,68%,SkyFast Airlines,Promocional
2626,2023-04-06,GRU,REC,1.4,132.01,199.0,0,Normal,22,90%,SkyFast Airlines,Standard
2627,2022-03-19,FLN,CNF,2.2,251.51,377.26,0,Normal,30,86%,SkyFast Airlines,Flex
2628,2023-12-14,SDU,FLN,1.8,361.41,542.12,0,Alta,60,93%,SkyFast Airlines,Standard
2629,2021-11-26,POA,CGH,1.1,106.55,199.0,0,Normal,15,81%,SkyFast Airlines,Promocional
2630,2019-09-23,CWB,CGH,2.2,238.51,357.76,0,Normal,50,92%,SkyFast Airlines,Standard
2631,2022-07-09,SSA,FLN,2.6,487.53,877.55,0,Alta,27,86%,SkyFast Airlines,Standard
2632,2023-07-04,VIX,GIG,1.9,307.18,460.77,0,Alta,39,94%,SkyFast Airlines,Standard
2633,2021-10-10,CWB,CGH,3.0,243.91,365.87,0,Normal,18,89%,SkyFast Airlines,Flex
2634,2020-07-26,CGH,BSB,1.8,269.77,404.65,0,Alta,23,70%,SkyFast Airlines,Promocional
2635,2023-09-02,SDU,SSA,3.5,409.34,736.81,0,Normal,13,89%,SkyFast Airlines,Standard
2636,2020-05-04,CNF,POA,1.3,140.61,253.1,0,Normal,27,65%,SkyFast Airlines,Flex
2637,2023-11-15,SSA,CNF,1.6,164.68,247.02,0,Normal,30,95%,SkyFast Airlines,Promocional
2638,2024-10-20,SSA,GRU,1.1,161.9,242.85,0,Normal,10,90%,SkyFast Airlines,Promocional
2639,2023-09-28,BSB,POA,2.0,287.96,431.94,0,Normal,45,85%,SkyFast Airlines,Promocional
2640,2021-06-27,GRU,FLN,1.8,202.14,303.21,0,Normal,6,81%,SkyFast Airlines,Flex
2641,2022-09-20,FLN,GRU,2.0,317.1,475.65,0,Normal,17,91%,SkyFast Airlines,Flex
2642,2021-11-07,CNF,GIG,1.7,128.76,231.77,0,Normal,6,79%,SkyFast Airlines,Promocional
2643,2024-08-13,POA,VIX,3.2,609.5,1097.1,0,Normal,19,87%,SkyFast Airlines,Flex
2644,2021-02-17,VIX,SSA,2.0,276.35,414.53,0,Alta,31,88%,SkyFast Airlines,Flex
2645,2019-04-05,REC,FLN,2.4,246.04,442.87,0,Normal,48,89%,SkyFast Airlines,Standard
2646,2022-12-01,SDU,FOR,2.9,642.84,1157.11,0,Alta,29,87%,SkyFast Airlines,Flex
2647,2021-09-03,FLN,SSA,1.2,99.0,199.0,0,Normal,45,84%,SkyFast Airlines,Flex
2648,2023-10-06,CNF,CGH,2.3,202.99,304.49,0,Normal,28,86%,SkyFast Airlines,Promocional
2649,2022-01-04,GRU,CNF,1.2,213.94,385.09,0,Alta,9,95%,SkyFast Airlines,Promocional
2650,2020-09-15,REC,POA,2.3,269.59,485.26,0,Normal,13,73%,SkyFast Airlines,Standard
2651,2022-08-02,SSA,SDU,1.2,139.52,209.28,0,Normal,48,87%,SkyFast Airlines,Standard
2652,2023-05-25,BSB,SSA,2.2,311.96,467.94,0,Normal,36,86%,SkyFast Airlines,Flex
2653,2024-04-28,GRU,CWB,2.6,308.16,462.24,0,Normal,14,94%,SkyFast Airlines,Standard
2654,2019-05-12,GRU,FLN,2.6,353.94,637.09,0,Normal,31,87%,SkyFast Airlines,Promocional
2655,2019-11-15,REC,SDU,2.2,311.87,561.37,0,Normal,52,88%,SkyFast Airlines,Flex
2656,2021-04-14,CNF,SSA,2.4,197.11,295.67,0,Normal,18,90%,SkyFast Airlines,Standard
2657,2022-04-23,REC,FLN,2.5,234.93,352.39,0,Normal,55,87%,SkyFast Airlines,Promocional
2658,2024-02-24,CWB,CGH,3.3,463.52,695.28,0,Alta,46,89%,SkyFast Airlines,Promocional
2659,2019-12-24,GIG,GRU,1.9,294.98,530.96,0,Alta,11,95%,SkyFast Airlines,Standard
2660,2023-05-06,GIG,FOR,2.3,366.29,659.32,0,Normal,24,85%,SkyFast Airlines,Flex
2661,2021-01-09,SDU,CGH,1.0,121.61,199.0,0,Alta,24,87%,SkyFast Airlines,Standard
2662,2019-01-23,POA,SSA,1.9,305.73,550.31,0,Alta,24,85%,SkyFast Airlines,Promocional
2663,2024-02-26,GRU,FLN,2.1,376.34,677.41,0,Alta,48,90%,SkyFast Airlines,Promocional
2664,2023-07-10,GIG,BSB,3.3,690.5,1035.75,0,Alta,52,89%,SkyFast Airlines,Flex
2665,2022-07-01,BSB,POA,1.7,211.92,317.88,0,Alta,33,85%,SkyFast Airlines,Promocional
2666,2021-10-21,BSB,CGH,1.9,170.68,256.02,0,Normal,8,77%,SkyFast Airlines,Standard
2667,2020-04-13,CWB,GRU,1.5,132.36,199.0,0,Normal,46,74%,SkyFast Airlines,Promocional
2668,2020-06-19,GRU,POA,2.2,208.99,313.49,0,Normal,12,70%,SkyFast Airlines,Promocional
2669,2022-10-20,GIG,CGH,3.4,265.65,478.17,0,Normal,18,85%,SkyFast Airlines,Standard
2670,2021-04-08,BSB,FLN,3.3,400.02,720.04,0,Normal,46,88%,SkyFast Airlines,Standard
2671,2023-03-14,SSA,POA,2.0,269.11,403.67,0,Normal,16,86%,SkyFast Airlines,Standard
2672,2021-08-11,SDU,POA,1.2,130.45,199.0,0,Normal,20,88%,SkyFast Airlines,Promocional
2673,2024-05-26,REC,VIX,2.4,418.73,628.1,0,Normal,58,86%,SkyFast Airlines,Flex
2674,2019-06-03,VIX,CNF,1.6,225.74,338.61,0,Normal,35,87%,SkyFast Airlines,Standard
2675,2023-07-23,BSB,CGH,3.4,459.02,688.53,0,Alta,20,92%,SkyFast Airlines,Flex
2676,2023-11-03,SSA,BSB,1.4,233.74,350.61,0,Normal,50,92%,SkyFast Airlines,Standard
2677,2022-01-05,CNF,BSB,2.3,465.48,698.22,0,Alta,26,95%,SkyFast Airlines,Standard
2678,2019-07-28,SDU,POA,1.9,272.6,408.9,0,Alta,12,91%,SkyFast Airlines,Promocional
2679,2024-10-22,SSA,REC,2.1,321.37,482.06,0,Normal,20,86%,SkyFast Airlines,Flex
2680,2019-07-18,GRU,VIX,2.0,241.29,361.94,0,Alta,23,88%,SkyFast Airlines,Standard
2681,2022-10-22,REC,POA,2.6,404.14,727.45,0,Normal,36,87%,SkyFast Airlines,Flex
2682,2021-11-08,FOR,CGH,1.3,172.77,259.16,0,Normal,40,81%,SkyFast Airlines,Promocional
2683,2024-03-04,CGH,GIG,1.8,143.35,215.02,0,Normal,40,86%,SkyFast Airlines,Flex
2684,2024-08-19,CNF,FLN,2.8,386.73,580.1,0,Normal,35,88%,SkyFast Airlines,Standard
2685,2024-04-27,SSA,CNF,3.1,330.1,495.15,0,Normal,11,87%,SkyFast Airlines,Flex
2686,2020-07-16,SSA,VIX,1.1,127.47,199.0,0,Alta,19,76%,SkyFast Airlines,Standard
2687,2019-01-15,GRU,SSA,2.6,399.76,599.64,0,Alta,56,92%,SkyFast Airlines,Promocional
2688,2022-09-24,GRU,VIX,1.2,224.5,404.1,0,Normal,44,94%,SkyFast Airlines,Standard
2689,2023-06-23,REC,GIG,1.9,199.78,299.67,0,Normal,11,88%,SkyFast Airlines,Standard
2690,2023-09-14,CWB,SSA,2.3,269.77,485.59,0,Normal,13,89%,SkyFast Airlines,Flex
2691,2019-11-27,POA,SSA,2.1,268.0,482.4,0,Normal,28,89%,SkyFast Airlines,Flex
2692,2020-07-21,GIG,CNF,2.4,268.18,402.27,0,Alta,20,62%,SkyFast Airlines,Standard
2693,2023-09-15,SSA,REC,2.5,320.23,480.35,0,Normal,50,90%,SkyFast Airlines,Standard
2694,2022-11-14,POA,REC,2.4,359.33,646.79,0,Normal,35,93%,SkyFast Airlines,Promocional
2695,2020-05-28,CGH,BSB,2.5,311.03,466.54,0,Normal,37,77%,SkyFast Airlines,Standard
2696,2024-10-20,CNF,CGH,3.4,440.15,660.22,0,Normal,57,93%,SkyFast Airlines,Promocional
2697,2023-11-07,GIG,CNF,3.4,305.97,550.75,0,Normal,58,85%,SkyFast Airlines,Promocional
2698,2022-12-09,GIG,FOR,2.4,579.52,869.28,0,Alta,11,95%,SkyFast Airlines,Standard
2699,2021-02-21,CGH,GIG,2.5,350.73,526.1,0,Alta,56,87%,SkyFast Airlines,Promocional
2700,2019-04-19,FLN,SDU,1.0,155.46,279.83,0,Normal,32,90%,SkyFast Airlines,Standard
2701,2023-02-17,BSB,SDU,3.1,497.98,896.36,0,Alta,22,87%,SkyFast Airlines,Promocional
2702,2020-06-25,POA,SDU,3.1,221.57,332.36,0,Normal,3,73%,SkyFast Airlines,Standard
2703,2023-05-17,REC,CGH,2.9,509.62,764.43,0,Normal,16,94%,SkyFast Airlines,Standard
2704,2022-08-07,SSA,CNF,2.5,429.81,644.72,0,Normal,24,87%,SkyFast Airlines,Promocional
2705,2021-02-08,SSA,CGH,1.5,236.69,355.03,0,Alta,38,87%,SkyFast Airlines,Promocional
2706,2022-08-20,CGH,POA,1.3,130.04,234.07,0,Normal,34,89%,SkyFast Airlines,Standard
2707,2021-02-27,REC,GRU,2.9,584.64,876.96,0,Alta,17,84%,SkyFast Airlines,Standard
2708,2023-10-17,CWB,CNF,2.0,215.4,387.72,0,Normal,46,93%,SkyFast Airlines,Promocional
2709,2021-03-14,REC,BSB,3.4,386.57,579.86,0,Normal,19,89%,SkyFast Airlines,Flex
2710,2021-05-14,BSB,CWB,2.5,369.9,554.85,0,Normal,26,78%,SkyFast Airlines,Standard
2711,2021-11-09,POA,GIG,2.4,373.17,671.71,0,Normal,27,75%,SkyFast Airlines,Promocional
2712,2019-04-14,FLN,REC,2.7,204.07,306.11,0,Normal,7,91%,SkyFast Airlines,Flex
2713,2022-06-20,SDU,GIG,2.2,264.18,396.27,0,Normal,42,92%,SkyFast Airlines,Promocional
2714,2019-01-02,SSA,CWB,1.9,252.97,379.45,0,Alta,47,88%,SkyFast Airlines,Standard
2715,2019-08-20,VIX,SDU,1.8,233.04,349.56,0,Normal,2,89%,SkyFast Airlines,Promocional
2716,2020-04-03,GIG,SSA,2.2,186.38,279.57,0,Normal,43,65%,SkyFast Airlines,Flex
2717,2024-06-26,FOR,CNF,3.0,497.37,895.27,0,Normal,9,89%,SkyFast Airlines,Flex
2718,2021-05-04,GRU,SSA,2.8,198.13,297.19,0,Normal,25,80%,SkyFast Airlines,Flex
2719,2021-01-16,VIX,SSA,1.6,320.78,481.17,0,Alta,39,90%,SkyFast Airlines,Promocional
2720,2020-09-19,GIG,GRU,2.5,279.62,503.32,0,Normal,60,75%,SkyFast Airlines,Standard
2721,2023-03-22,FOR,GRU,3.0,474.84,712.26,0,Normal,7,88%,SkyFast Airlines,Standard
2722,2019-05-23,POA,CGH,1.6,189.38,284.07,0,Normal,13,90%,SkyFast Airlines,Flex
2723,2024-08-04,GRU,SSA,3.4,390.25,702.45,0,Normal,34,87%,SkyFast Airlines,Promocional
2724,2023-08-24,CNF,BSB,1.6,247.08,370.62,0,Normal,60,95%,SkyFast Airlines,Flex
2725,2024-06-11,GRU,REC,2.0,254.82,458.68,0,Normal,3,86%,SkyFast Airlines,Flex
2726,2023-12-04,REC,FLN,2.3,311.49,467.24,0,Alta,45,93%,SkyFast Airlines,Flex
2727,2023-11-23,CGH,CWB,2.7,250.41,450.74,0,Normal,42,91%,SkyFast Airlines,Flex
2728,2019-10-28,CNF,VIX,2.3,280.29,420.44,0,Normal,30,93%,SkyFast Airlines,Standard
2729,2022-01-14,CWB,CNF,2.7,486.02,729.03,0,Alta,57,86%,SkyFast Airlines,Flex
2730,2024-04-28,FLN,BSB,3.0,365.45,548.17,0,Normal,24,85%,SkyFast Airlines,Promocional
2731,2022-01-22,GIG,CNF,3.0,455.46,683.19,0,Alta,11,89%,SkyFast Airlines,Flex
2732,2024-05-27,GIG,REC,2.1,192.44,346.39,0,Normal,17,85%,SkyFast Airlines,Flex
2733,2023-11-16,CNF,CWB,3.5,285.58,428.37,0,Normal,11,95%,SkyFast Airlines,Flex
2734,2023-11-12,REC,GIG,2.6,283.48,425.22,0,Normal,3,89%,SkyFast Airlines,Promocional
2735,2021-12-04,POA,VIX,1.6,237.23,355.84,0,Alta,35,81%,SkyFast Airlines,Promocional
2736,2019-03-15,REC,BSB,2.2,408.29,734.92,0,Normal,27,88%,SkyFast Airlines,Flex
2737,2019-08-16,CGH,GRU,1.4,175.03,315.05,0,Normal,11,85%,SkyFast Airlines,Flex
2738,2022-11-27,CGH,GRU,2.4,253.88,380.82,0,Normal,16,91%,SkyFast Airlines,Promocional
2739,2022-11-03,POA,SDU,2.3,220.07,330.11,0,Normal,4,92%,SkyFast Airlines,Promocional
2740,2021-02-18,SDU,VIX,2.8,507.43,761.14,0,Alta,56,75%,SkyFast Airlines,Promocional
2741,2024-03-10,SSA,VIX,3.2,561.89,1011.4,0,Normal,46,88%,SkyFast Airlines,Promocional
2742,2023-11-27,REC,SDU,2.7,417.56,626.34,0,Normal,29,93%,SkyFast Airlines,Promocional
2743,2022-04-26,FLN,CNF,2.4,379.41,569.12,0,Normal,16,85%,SkyFast Airlines,Promocional
2744,2019-09-16,CNF,BSB,2.7,277.57,416.36,0,Normal,32,93%,SkyFast Airlines,Promocional
2745,2023-12-24,CNF,SDU,3.4,409.51,614.26,0,Alta,58,86%,SkyFast Airlines,Promocional
2746,2020-05-01,CNF,REC,1.3,99.0,199.0,0,Normal,25,61%,SkyFast Airlines,Promocional
2747,2024-10-26,SDU,POA,3.5,461.48,692.22,0,Normal,46,90%,SkyFast Airlines,Promocional
2748,2020-06-05,BSB,REC,2.8,280.52,504.94,0,Normal,47,62%,SkyFast Airlines,Flex
2749,2024-06-22,SSA,CNF,2.4,299.65,449.47,0,Normal,14,89%,SkyFast Airlines,Standard
2750,2022-12-08,GRU,SSA,1.4,290.42,522.76,0,Alta,13,90%,SkyFast Airlines,Flex
2751,2020-11-17,FLN,GRU,3.0,307.27,553.09,0,Normal,57,62%,SkyFast Airlines,Promocional
2752,2023-12-22,FOR,POA,2.8,561.27,841.9,0,Alta,39,90%,SkyFast Airlines,Standard
2753,2019-01-21,BSB,GRU,3.1,680.34,1020.51,0,Alta,32,89%,SkyFast Airlines,Promocional
2754,2023-03-02,GIG,FLN,2.0,356.36,534.54,0,Normal,57,86%,SkyFast Airlines,Promocional
2755,2023-11-27,SSA,VIX,2.8,357.19,642.94,0,Normal,47,86%,SkyFast Airlines,Standard
2756,2023-01-27,SSA,CNF,1.4,283.69,510.64,0,Alta,4,86%,SkyFast Airlines,Flex
2757,2021-11-04,FOR,BSB,2.5,388.65,582.97,0,Normal,37,75%,SkyFast Airlines,Standard
2758,2019-04-06,CNF,FOR,2.7,312.96,469.44,0,Normal,58,87%,SkyFast Airlines,Flex
2759,2021-10-15,BSB,VIX,1.4,176.97,265.45,0,Normal,2,84%,SkyFast Airlines,Standard
2760,2019-12-11,BSB,CNF,1.0,204.43,306.64,0,Alta,24,89%,SkyFast Airlines,Promocional
2761,2024-03-21,REC,POA,2.1,344.84,517.26,0,Normal,4,85%,SkyFast Airlines,Promocional
2762,2024-12-14,REC,FOR,2.6,466.35,699.53,0,Alta,32,94%,SkyFast Airlines,Standard
2763,2024-12-14,CNF,FLN,2.9,268.52,402.78,0,Alta,50,88%,SkyFast Airlines,Standard
2764,2019-08-07,FLN,GIG,2.0,228.12,342.18,0,Normal,13,91%,SkyFast Airlines,Standard
2765,2022-07-07,GRU,VIX,2.5,364.67,547.0,0,Alta,24,90%,SkyFast Airlines,Flex
2766,2022-04-14,POA,FOR,1.6,195.73,293.59,0,Normal,57,95%,SkyFast Airlines,Promocional
2767,2022-07-15,SDU,REC,1.6,344.25,516.38,0,Alta,37,94%,SkyFast Airlines,Standard
2768,2023-09-21,VIX,CNF,1.3,173.2,259.8,0,Normal,25,89%,SkyFast Airlines,Standard
2769,2023-02-01,FLN,GRU,3.0,350.76,526.14,0,Alta,1,90%,SkyFast Airlines,Flex
2770,2020-10-27,BSB,GRU,2.1,255.17,459.31,0,Normal,13,71%,SkyFast Airlines,Standard
2771,2020-07-23,POA,CWB,2.9,270.23,405.35,0,Alta,53,76%,SkyFast Airlines,Standard
2772,2022-10-18,CGH,CNF,2.3,314.31,471.47,0,Normal,38,87%,SkyFast Airlines,Standard
2773,2022-10-27,GRU,CWB,3.3,358.0,537.0,0,Normal,60,87%,SkyFast Airlines,Promocional
2774,2020-10-01,VIX,GIG,1.0,125.47,225.85,0,Normal,10,78%,SkyFast Airlines,Standard
2775,2023-12-20,POA,FOR,1.4,208.13,312.19,0,Alta,50,95%,SkyFast Airlines,Standard
2776,2023-01-24,CWB,SDU,3.0,426.21,767.18,0,Alta,35,88%,SkyFast Airlines,Flex
2777,2019-01-21,SDU,FLN,1.6,368.03,662.45,0,Alta,25,89%,SkyFast Airlines,Flex
2778,2021-08-21,BSB,FLN,3.2,512.98,923.36,0,Normal,44,89%,SkyFast Airlines,Flex
2779,2023-08-07,CGH,GIG,1.8,342.88,514.32,0,Normal,15,94%,SkyFast Airlines,Flex
2780,2019-11-07,REC,CNF,2.0,200.34,300.51,0,Normal,57,91%,SkyFast Airlines,Flex
2781,2020-01-27,VIX,BSB,1.2,99.0,199.0,0,Alta,42,80%,SkyFast Airlines,Promocional
2782,2021-09-28,CGH,GRU,2.4,292.49,438.74,0,Normal,35,76%,SkyFast Airlines,Promocional
2783,2023-05-14,SSA,BSB,2.8,395.26,711.47,0,Normal,37,85%,SkyFast Airlines,Flex
2784,2019-05-06,GIG,FLN,1.3,104.28,199.0,0,Normal,47,95%,SkyFast Airlines,Standard
2785,2021-12-16,FOR,SSA,3.1,389.15,583.72,0,Alta,35,80%,SkyFast Airlines,Flex
2786,2024-08-16,FLN,CNF,1.5,157.17,282.91,0,Normal,17,91%,SkyFast Airlines,Flex
2787,2023-10-19,SDU,POA,2.2,200.78,301.17,0,Normal,20,89%,SkyFast Airlines,Promocional
2788,2019-05-07,GRU,VIX,3.5,496.99,745.49,0,Normal,46,88%,SkyFast Airlines,Standard
2789,2023-12-25,BSB,FLN,2.3,317.26,475.89,0,Alta,49,93%,SkyFast Airlines,Flex
2790,2019-07-09,FLN,CNF,3.0,368.99,664.18,0,Alta,35,89%,SkyFast Airlines,Standard
2791,2023-10-28,REC,SDU,3.4,492.22,886.0,0,Normal,5,89%,SkyFast Airlines,Flex
2792,2024-02-27,CWB,VIX,3.5,356.21,641.18,0,Alta,37,95%,SkyFast Airlines,Standard
2793,2019-09-09,CWB,BSB,3.0,418.73,628.1,0,Normal,10,93%,SkyFast Airlines,Promocional
2794,2021-08-27,BSB,FLN,2.9,276.87,415.31,0,Normal,40,84%,SkyFast Airlines,Standard
2795,2023-04-21,SDU,CWB,3.3,261.18,470.12,0,Normal,52,89%,SkyFast Airlines,Flex
2796,2020-05-25,SDU,CWB,2.0,129.17,199.0,0,Normal,53,64%,SkyFast Airlines,Standard
2797,2022-05-28,FLN,CGH,1.0,99.0,199.0,0,Normal,32,90%,SkyFast Airlines,Flex
2798,2022-11-04,POA,VIX,2.2,380.45,684.81,0,Normal,3,85%,SkyFast Airlines,Promocional
2799,2019-02-08,CGH,CWB,1.3,210.94,379.69,0,Alta,53,85%,SkyFast Airlines,Standard
2800,2019-02-23,CWB,SSA,2.9,452.99,815.38,0,Alta,2,91%,SkyFast Airlines,Flex
2801,2023-11-04,CWB,SDU,3.0,478.48,717.72,0,Normal,29,93%,SkyFast Airlines,Standard
2802,2022-06-16,CNF,GRU,2.7,364.99,656.98,0,Normal,51,91%,SkyFast Airlines,Standard
2803,2024-09-01,CWB,CNF,3.4,472.53,708.79,0,Normal,15,90%,SkyFast Airlines,Standard
2804,2024-11-16,CGH,FLN,2.6,291.12,436.68,0,Normal,35,94%,SkyFast Airlines,Flex
2805,2021-01-28,POA,GRU,2.7,480.15,720.22,0,Alta,25,88%,SkyFast Airlines,Promocional
2806,2024-02-26,CNF,GRU,1.6,241.73,362.59,0,Alta,31,93%,SkyFast Airlines,Standard
2807,2021-08-13,SDU,FLN,1.5,144.69,217.03,0,Normal,51,89%,SkyFast Airlines,Promocional
2808,2024-12-14,CNF,SSA,3.5,495.55,743.33,0,Alta,3,85%,SkyFast Airlines,Flex
2809,2023-10-27,CNF,GIG,3.0,378.35,567.53,0,Normal,58,93%,SkyFast Airlines,Promocional
2810,2024-02-22,BSB,FLN,1.8,189.05,283.58,0,Alta,31,92%,SkyFast Airlines,Flex
2811,2024-05-11,GRU,CNF,1.0,99.0,199.0,0,Normal,34,86%,SkyFast Airlines,Standard
2812,2022-10-28,VIX,CWB,1.0,99.07,199.0,0,Normal,33,95%,SkyFast Airlines,Promocional
2813,2021-04-04,SSA,BSB,2.5,261.03,469.85,0,Normal,25,75%,SkyFast Airlines,Promocional
2814,2020-05-24,CWB,FOR,2.6,210.89,316.33,0,Normal,11,70%,SkyFast Airlines,Promocional
2815,2022-09-26,POA,BSB,1.3,116.23,199.0,0,Normal,23,94%,SkyFast Airlines,Promocional
2816,2022-03-02,CNF,CWB,1.2,119.33,214.79,0,Normal,54,93%,SkyFast Airlines,Standard
2817,2024-11-03,FLN,VIX,3.4,325.55,488.33,0,Normal,20,85%,SkyFast Airlines,Promocional
2818,2024-09-17,CGH,GIG,1.4,246.36,369.54,0,Normal,5,85%,SkyFast Airlines,Flex
2819,2020-04-07,FLN,SDU,1.6,151.17,272.11,0,Normal,13,77%,SkyFast Airlines,Flex
2820,2023-02-01,BSB,CGH,2.4,245.42,368.13,0,Alta,22,85%,SkyFast Airlines,Standard
2821,2023-02-11,VIX,CNF,3.2,713.0,1283.4,0,Alta,16,86%,SkyFast Airlines,Standard
2822,2023-01-02,SDU,POA,2.9,401.44,602.16,0,Alta,34,91%,SkyFast Airlines,Promocional
2823,2021-05-11,FOR,BSB,2.1,220.82,331.23,0,Normal,41,89%,SkyFast Airlines,Promocional
2824,2020-01-26,BSB,FLN,1.6,250.97,376.45,0,Alta,20,79%,SkyFast Airlines,Promocional
2825,2023-03-26,VIX,BSB,2.7,451.58,812.84,0,Normal,50,90%,SkyFast Airlines,Promocional
2826,2023-03-07,CGH,FOR,3.4,293.19,439.78,0,Normal,14,93%,SkyFast Airlines,Promocional
2827,2020-08-26,CGH,SDU,3.4,227.14,340.71,0,Normal,9,60%,SkyFast Airlines,Standard
