ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Rota,Tamanho_Aviao
2310,2020-11-16,TBT,CXJ,1.3,176.59,282.54,388.5,Normal,18,55%,Air Regional Connect,Regional-Regional,CRJ900
2311,2022-04-19,REC,CGB,1.6,375.55,600.88,826.21,Normal,35,89%,Air Regional Connect,Hub-Regional,E195
2312,2021-10-06,XAP,CGR,1.9,399.11,638.58,878.04,Normal,9,78%,Air Regional Connect,Regional-Regional,E195
2313,2020-09-23,REC,IGZ,1.3,241.95,387.12,532.29,Normal,35,65%,Air Regional Connect,Hub-Regional,CRJ900
2314,2024-04-14,THE,CGR,1.6,308.16,493.06,677.95,Normal,28,85%,Air Regional Connect,Regional-Regional,E195
2315,2022-04-09,FOR,SLZ,2.3,371.51,594.42,817.32,Normal,30,84%,Air Regional Connect,Hub-Regional,E190
2316,2023-06-15,SLZ,XAP,1.9,393.37,629.39,865.41,Alta,38,78%,Air Regional Connect,Regional-Regional,ATR72
2317,2019-07-06,TBT,XAP,1.4,367.52,588.03,808.54,Alta,22,74%,Air Regional Connect,Regional-Regional,CRJ900
2318,2019-08-12,PMW,CGH,1.1,169.61,271.38,373.14,Normal,25,90%,Air Regional Connect,Regional-Regional,CRJ900
2319,2022-12-12,CGR,PLU,2.3,497.57,796.11,1094.65,Alta,13,72%,Air Regional Connect,Regional-Regional,ATR72
2320,2020-01-25,CXJ,TBT,1.3,145.75,233.2,320.65,Alta,8,70%,Air Regional Connect,Regional-Regional,CRJ900
2321,2019-06-23,GRU,TBT,1.3,350.29,560.46,770.64,Alta,32,77%,Air Regional Connect,Hub-Regional,ATR72
2322,2021-08-23,GRU,JPA,2.1,298.4,477.44,656.48,Normal,4,67%,Air Regional Connect,Hub-Regional,E195
2323,2022-07-02,PLU,SDU,2.3,324.71,519.54,714.36,Alta,45,77%,Air Regional Connect,Regional-Regional,ATR72
2324,2020-01-20,POA,CXJ,1.7,208.14,333.02,457.91,Alta,5,62%,Air Regional Connect,Hub-Regional,ATR72
2325,2023-08-11,GRU,BPS,1.4,299.2,478.72,658.24,Normal,22,77%,Air Regional Connect,Hub-Regional,ATR72
2326,2021-04-09,TBT,NVT,1.1,140.14,224.22,308.31,Normal,39,67%,Air Regional Connect,Regional-Regional,E190
2327,2024-07-25,GRU,VIX,1.8,491.75,786.8,1081.85,Alta,20,81%,Air Regional Connect,Hub-Regional,E190
2328,2023-12-25,FOR,XAP,1.5,314.73,503.57,692.41,Alta,30,81%,Air Regional Connect,Hub-Regional,E195
2329,2021-10-26,REC,BPS,2.3,253.11,404.98,556.84,Normal,22,79%,Air Regional Connect,Hub-Regional,ATR72
2330,2024-03-25,QDV,PMW,2.3,573.71,917.94,1262.16,Normal,40,74%,Air Regional Connect,Regional-Regional,E190
2331,2022-04-18,REC,SOD,1.3,210.27,336.43,462.59,Normal,16,86%,Air Regional Connect,Hub-Regional,ATR72
2332,2021-05-10,RBR,AJU,1.4,220.19,352.3,484.42,Normal,36,66%,Air Regional Connect,Regional-Regional,E195
2333,2023-11-04,FOR,SOD,2.5,412.08,659.33,906.58,Normal,34,75%,Air Regional Connect,Hub-Regional,E190
2334,2019-06-10,FOR,QDV,1.1,177.8,284.48,391.16,Alta,16,84%,Air Regional Connect,Hub-Regional,ATR72
2335,2022-09-03,POA,QDV,1.0,192.73,308.37,424.01,Normal,14,86%,Air Regional Connect,Hub-Regional,E190
2336,2023-03-15,BSB,CGR,1.2,213.24,341.18,469.13,Normal,31,89%,Air Regional Connect,Hub-Regional,E190
2337,2022-09-21,POA,CXJ,0.8,135.39,216.62,300.0,Normal,21,80%,Air Regional Connect,Hub-Regional,CRJ900
2338,2021-01-03,JPA,BPS,1.0,223.92,358.27,492.62,Alta,3,75%,Air Regional Connect,Regional-Regional,E190
2339,2022-07-21,FOR,SDU,2.4,425.58,680.93,936.28,Alta,33,75%,Air Regional Connect,Hub-Regional,CRJ900
2340,2023-12-03,FOR,PLU,1.9,507.96,812.74,1117.51,Alta,28,83%,Air Regional Connect,Hub-Regional,CRJ900
2341,2023-09-12,PMW,JPA,0.8,156.06,249.7,343.33,Normal,42,71%,Air Regional Connect,Regional-Regional,E190
2342,2019-02-27,REC,CGB,1.1,172.66,276.26,379.85,Normal,11,71%,Air Regional Connect,Hub-Regional,E195
2343,2021-02-19,FOR,XAP,1.2,246.25,394.0,541.75,Normal,11,70%,Air Regional Connect,Hub-Regional,E190
2344,2024-09-15,BPS,AJU,1.0,199.26,318.82,438.37,Normal,13,73%,Air Regional Connect,Regional-Regional,CRJ900
2345,2024-10-10,FOR,IGZ,1.5,289.45,463.12,636.79,Normal,43,72%,Air Regional Connect,Hub-Regional,CRJ900
2346,2022-10-04,FOR,JPA,1.5,353.91,566.26,778.6,Normal,6,87%,Air Regional Connect,Hub-Regional,E195
2347,2023-02-12,PMW,CXJ,2.3,561.17,897.87,1234.57,Normal,35,71%,Air Regional Connect,Regional-Regional,CRJ900
2348,2019-07-12,REC,CGR,1.2,172.34,275.74,379.15,Alta,13,75%,Air Regional Connect,Hub-Regional,E195
2349,2020-05-23,UBA,BPS,2.3,277.32,443.71,610.1,Normal,20,67%,Air Regional Connect,Regional-Regional,E190
2350,2022-01-22,REC,TBT,0.9,235.06,376.1,517.13,Alta,36,74%,Air Regional Connect,Hub-Regional,E195
2351,2023-11-20,FOR,SOD,1.0,125.92,201.47,300.0,Normal,29,70%,Air Regional Connect,Hub-Regional,CRJ900
2352,2022-05-25,REC,CGH,2.4,437.17,699.47,961.77,Normal,9,89%,Air Regional Connect,Hub-Regional,E190
2353,2019-01-06,POA,CGH,2.2,536.66,858.66,1180.65,Alta,17,90%,Air Regional Connect,Hub-Regional,E190
2354,2021-04-13,POA,IGZ,2.1,361.19,577.9,794.62,Normal,29,80%,Air Regional Connect,Hub-Regional,E190
2355,2023-09-18,POA,AJU,2.5,585.16,936.26,1287.35,Normal,25,81%,Air Regional Connect,Hub-Regional,CRJ900
2356,2021-11-08,BSB,CGB,2.3,430.08,688.13,946.18,Normal,4,71%,Air Regional Connect,Hub-Regional,CRJ900
2357,2019-12-15,GRU,CGH,1.7,379.99,607.98,835.98,Alta,22,80%,Air Regional Connect,Hub-Regional,E195
2358,2022-10-22,BSB,PLU,1.6,320.4,512.64,704.88,Normal,42,87%,Air Regional Connect,Hub-Regional,E190
2359,2024-01-06,POA,PLU,1.9,386.85,618.96,851.07,Alta,10,87%,Air Regional Connect,Hub-Regional,E195
2360,2019-07-11,FOR,NVT,1.2,283.81,454.1,624.38,Alta,15,89%,Air Regional Connect,Hub-Regional,E190
2361,2021-07-03,BSB,CGH,1.5,239.06,382.5,525.93,Alta,27,74%,Air Regional Connect,Hub-Regional,E195
2362,2023-01-27,SOD,SLZ,2.1,363.07,580.91,798.75,Alta,45,89%,Air Regional Connect,Regional-Regional,E195
2363,2022-09-16,GRU,UBA,2.0,304.73,487.57,670.41,Normal,15,82%,Air Regional Connect,Hub-Regional,ATR72
2364,2024-06-25,THE,CGB,2.1,386.17,617.87,849.57,Alta,6,80%,Air Regional Connect,Regional-Regional,E195
2365,2023-12-05,FOR,UBA,1.3,300.9,481.44,661.98,Alta,44,78%,Air Regional Connect,Hub-Regional,CRJ900
2366,2019-07-24,SOD,PLU,2.2,449.3,718.88,988.46,Alta,23,83%,Air Regional Connect,Regional-Regional,E190
2367,2024-09-28,FOR,UBA,2.2,459.77,735.63,1011.49,Normal,18,90%,Air Regional Connect,Hub-Regional,ATR72
2368,2024-11-06,QDV,CGH,2.3,499.22,798.75,1098.28,Normal,6,86%,Air Regional Connect,Regional-Regional,ATR72
2369,2022-11-22,FOR,PMW,2.1,362.22,579.55,796.88,Normal,24,80%,Air Regional Connect,Hub-Regional,ATR72
2370,2023-01-11,POA,JPA,2.3,473.91,758.26,1042.6,Alta,5,74%,Air Regional Connect,Hub-Regional,E195
2371,2023-09-13,REC,CGB,0.9,155.87,249.39,342.91,Normal,11,73%,Air Regional Connect,Hub-Regional,E190
2372,2020-04-28,BSB,QDV,2.4,499.59,799.34,1099.1,Normal,36,66%,Air Regional Connect,Hub-Regional,CRJ900
2373,2021-06-04,UBA,QDV,1.1,231.14,369.82,508.51,Alta,30,68%,Air Regional Connect,Regional-Regional,E195
2374,2022-02-08,POA,CXJ,1.7,263.12,420.99,578.86,Normal,42,89%,Air Regional Connect,Hub-Regional,CRJ900
2375,2019-08-07,CGH,VIX,2.2,488.94,782.3,1075.67,Normal,24,86%,Air Regional Connect,Regional-Regional,E195
2376,2022-01-06,FOR,SOD,1.7,367.18,587.49,807.8,Alta,41,85%,Air Regional Connect,Hub-Regional,E195
2377,2024-07-19,BSB,PLU,1.6,464.36,742.98,1021.59,Alta,8,74%,Air Regional Connect,Hub-Regional,E195
2378,2022-03-11,REC,PLU,2.4,435.53,696.85,958.17,Normal,29,90%,Air Regional Connect,Hub-Regional,ATR72
2379,2022-08-06,POA,PMW,1.9,363.06,580.9,798.73,Normal,16,71%,Air Regional Connect,Hub-Regional,E190
2380,2020-08-02,BSB,VIX,1.4,270.94,433.5,596.07,Normal,37,66%,Air Regional Connect,Hub-Regional,E195
2381,2019-08-17,FOR,IGZ,1.9,322.47,515.95,709.43,Normal,12,80%,Air Regional Connect,Hub-Regional,CRJ900
2382,2023-01-27,POA,THE,2.4,680.27,1088.43,1496.59,Alta,23,89%,Air Regional Connect,Hub-Regional,CRJ900
2383,2022-07-02,GRU,PLU,1.1,166.76,266.82,366.87,Alta,17,78%,Air Regional Connect,Hub-Regional,E195
2384,2021-05-23,POA,CGB,1.5,299.19,478.7,658.22,Normal,22,74%,Air Regional Connect,Hub-Regional,ATR72
2385,2021-03-22,POA,UBA,0.9,120.0,200.0,300.0,Normal,13,71%,Air Regional Connect,Hub-Regional,ATR72
2386,2022-11-10,POA,VIX,1.1,194.79,311.66,428.54,Normal,8,77%,Air Regional Connect,Hub-Regional,ATR72
2387,2020-09-05,PVH,SDU,2.5,339.25,542.8,746.35,Normal,19,61%,Air Regional Connect,Regional-Regional,CRJ900
2388,2022-12-02,POA,JPA,1.0,285.29,456.46,627.64,Alta,7,86%,Air Regional Connect,Hub-Regional,ATR72
2389,2022-06-10,REC,XAP,1.3,249.03,398.45,547.87,Alta,11,73%,Air Regional Connect,Hub-Regional,E190
2390,2021-09-13,SDU,PMW,1.9,349.94,559.9,769.87,Normal,11,80%,Air Regional Connect,Regional-Regional,E195
2391,2022-06-10,FOR,VIX,2.5,788.29,1261.26,1734.24,Alta,22,85%,Air Regional Connect,Hub-Regional,E190
2392,2020-11-13,POA,CGH,0.9,174.28,278.85,383.42,Normal,25,68%,Air Regional Connect,Hub-Regional,ATR72
2393,2020-08-18,POA,CGH,1.9,269.09,430.54,592.0,Normal,44,66%,Air Regional Connect,Hub-Regional,ATR72
2394,2020-02-22,REC,NVT,1.9,235.92,377.47,519.02,Normal,45,50%,Air Regional Connect,Hub-Regional,E190
2395,2019-04-03,POA,NVT,1.3,183.8,294.08,404.36,Normal,20,80%,Air Regional Connect,Hub-Regional,ATR72
2396,2019-10-17,REC,UBA,1.4,312.74,500.38,688.03,Normal,19,80%,Air Regional Connect,Hub-Regional,CRJ900
2397,2024-08-08,POA,PVH,1.9,386.23,617.97,849.71,Normal,14,87%,Air Regional Connect,Hub-Regional,CRJ900
2398,2024-06-17,FOR,JPA,1.6,425.08,680.13,935.18,Alta,4,70%,Air Regional Connect,Hub-Regional,E190
2399,2019-04-23,SLZ,NVT,2.5,566.14,905.82,1245.51,Normal,31,70%,Air Regional Connect,Regional-Regional,ATR72
2400,2023-12-01,FOR,AJU,1.1,206.25,330.0,453.75,Alta,40,88%,Air Regional Connect,Hub-Regional,CRJ900
2401,2022-10-07,TBT,RBR,1.1,249.11,398.58,548.04,Normal,45,71%,Air Regional Connect,Regional-Regional,ATR72
2402,2022-01-12,FOR,BPS,1.3,384.58,615.33,846.08,Alta,30,83%,Air Regional Connect,Hub-Regional,ATR72
2403,2019-07-19,SDU,CGR,1.0,163.81,262.1,360.38,Alta,41,75%,Air Regional Connect,Regional-Regional,ATR72
2404,2022-09-19,RBR,PMW,2.2,273.68,437.89,602.1,Normal,44,89%,Air Regional Connect,Regional-Regional,CRJ900
2405,2022-05-25,GRU,NVT,2.0,440.69,705.1,969.52,Normal,38,89%,Air Regional Connect,Hub-Regional,E195
2406,2022-08-13,BSB,RBR,1.1,219.92,351.87,483.82,Normal,12,86%,Air Regional Connect,Hub-Regional,E195
2407,2020-08-25,IGZ,RBR,1.2,230.8,369.28,507.76,Normal,18,53%,Air Regional Connect,Regional-Regional,E195
2408,2021-12-23,VIX,SOD,2.0,478.39,765.42,1052.46,Alta,28,79%,Air Regional Connect,Regional-Regional,ATR72
2409,2024-11-08,REC,JPA,1.7,294.53,471.25,647.97,Normal,5,73%,Air Regional Connect,Hub-Regional,CRJ900
2410,2019-09-25,BSB,TBT,1.5,196.35,314.16,431.97,Normal,25,80%,Air Regional Connect,Hub-Regional,E195
2411,2020-04-13,PLU,SOD,1.0,120.0,200.0,300.0,Normal,14,64%,Air Regional Connect,Regional-Regional,ATR72
2412,2022-02-03,POA,IGZ,2.3,357.92,572.67,787.42,Normal,36,88%,Air Regional Connect,Hub-Regional,ATR72
2413,2021-10-20,REC,SDU,1.5,216.15,345.84,475.53,Normal,42,68%,Air Regional Connect,Hub-Regional,CRJ900
2414,2019-08-06,GRU,JPA,1.2,239.06,382.5,525.93,Normal,14,78%,Air Regional Connect,Hub-Regional,CRJ900
2415,2023-01-19,RBR,CXJ,1.0,202.78,324.45,446.12,Alta,11,87%,Air Regional Connect,Regional-Regional,ATR72
2416,2023-10-24,REC,IGZ,0.9,206.32,330.11,453.9,Normal,19,89%,Air Regional Connect,Hub-Regional,CRJ900
2417,2022-09-10,RBR,SOD,1.4,219.24,350.78,482.33,Normal,4,88%,Air Regional Connect,Regional-Regional,E190
2418,2023-03-24,PVH,XAP,1.5,245.52,392.83,540.14,Normal,25,85%,Air Regional Connect,Regional-Regional,E195
2419,2022-11-08,POA,TBT,2.3,505.01,808.02,1111.02,Normal,6,70%,Air Regional Connect,Hub-Regional,E195
2420,2019-12-20,SOD,THE,1.5,288.67,461.87,635.07,Alta,39,81%,Air Regional Connect,Regional-Regional,E195
2421,2024-11-12,GRU,CXJ,1.2,213.59,341.74,469.9,Normal,3,87%,Air Regional Connect,Hub-Regional,ATR72
2422,2019-01-09,FOR,PMW,1.6,491.6,786.56,1081.52,Alta,27,82%,Air Regional Connect,Hub-Regional,E190
2423,2019-09-28,REC,PMW,1.1,164.93,263.89,362.85,Normal,27,78%,Air Regional Connect,Hub-Regional,E190
2424,2024-03-11,GRU,TBT,2.0,339.88,543.81,747.74,Normal,20,74%,Air Regional Connect,Hub-Regional,E190
2425,2019-10-17,BSB,CGH,1.2,215.87,345.39,474.91,Normal,43,90%,Air Regional Connect,Hub-Regional,E195
2426,2024-02-10,GRU,CGR,1.2,281.78,450.85,619.92,Normal,15,88%,Air Regional Connect,Hub-Regional,ATR72
2427,2022-11-02,POA,BPS,2.2,548.98,878.37,1207.76,Normal,41,77%,Air Regional Connect,Hub-Regional,CRJ900
2428,2023-10-14,BSB,RBR,1.8,305.21,488.34,671.46,Normal,41,86%,Air Regional Connect,Hub-Regional,E190
2429,2024-07-08,CGB,IGZ,1.4,204.52,327.23,449.94,Alta,36,76%,Air Regional Connect,Regional-Regional,E190
2430,2024-12-22,BSB,TBT,1.7,481.75,770.8,1059.85,Alta,39,79%,Air Regional Connect,Hub-Regional,E190
2431,2019-09-17,GRU,SLZ,1.7,417.18,667.49,917.8,Normal,3,86%,Air Regional Connect,Hub-Regional,E195
2432,2019-07-04,BSB,PVH,2.1,652.03,1043.25,1434.47,Alta,9,87%,Air Regional Connect,Hub-Regional,ATR72
2433,2023-12-13,POA,SDU,0.9,167.35,267.76,368.17,Alta,38,78%,Air Regional Connect,Hub-Regional,E190
2434,2021-07-17,QDV,CXJ,2.4,327.38,523.81,720.24,Alta,32,70%,Air Regional Connect,Regional-Regional,E190
2435,2019-08-07,GRU,SDU,1.6,281.82,450.91,620.0,Normal,7,73%,Air Regional Connect,Hub-Regional,E195
2436,2019-10-17,FOR,AJU,2.2,558.65,893.84,1229.03,Normal,10,71%,Air Regional Connect,Hub-Regional,ATR72
2437,2023-02-19,BSB,PMW,1.8,240.51,384.82,529.12,Normal,43,71%,Air Regional Connect,Hub-Regional,E190
2438,2024-12-25,GRU,CGH,1.7,281.56,450.5,619.43,Alta,21,73%,Air Regional Connect,Hub-Regional,E190
2439,2019-03-14,REC,SDU,1.0,184.66,295.46,406.25,Normal,18,80%,Air Regional Connect,Hub-Regional,E190
2440,2024-09-22,REC,AJU,1.2,225.59,360.94,496.3,Normal,36,84%,Air Regional Connect,Hub-Regional,E190
2441,2023-05-26,GRU,THE,0.8,192.35,307.76,423.17,Normal,16,88%,Air Regional Connect,Hub-Regional,E190
2442,2022-03-06,GRU,CGR,1.1,177.53,284.05,390.57,Normal,28,82%,Air Regional Connect,Hub-Regional,E190
2443,2024-06-22,FOR,NVT,0.9,177.97,284.75,391.53,Alta,24,81%,Air Regional Connect,Hub-Regional,CRJ900
2444,2023-11-12,PVH,VIX,2.4,551.44,882.3,1213.17,Normal,4,88%,Air Regional Connect,Regional-Regional,E195
2445,2019-02-14,POA,SOD,2.2,324.0,518.4,712.8,Normal,32,79%,Air Regional Connect,Hub-Regional,E195
2446,2024-05-01,GRU,VIX,2.4,402.11,643.38,884.64,Normal,12,72%,Air Regional Connect,Hub-Regional,CRJ900
2447,2019-02-07,REC,CGH,2.3,422.65,676.24,929.83,Normal,34,74%,Air Regional Connect,Hub-Regional,ATR72
2448,2021-01-25,FOR,XAP,0.8,209.9,335.84,461.78,Alta,16,78%,Air Regional Connect,Hub-Regional,E195
2449,2024-11-06,POA,NVT,1.1,156.71,250.74,344.76,Normal,24,88%,Air Regional Connect,Hub-Regional,ATR72
2450,2019-09-19,REC,PLU,0.9,182.72,292.35,401.98,Normal,8,76%,Air Regional Connect,Hub-Regional,ATR72
2451,2023-10-04,CGH,SDU,2.2,464.0,742.4,1020.8,Normal,14,73%,Air Regional Connect,Regional-Regional,E190
2452,2024-04-16,POA,IGZ,1.5,272.21,435.54,598.86,Normal,44,70%,Air Regional Connect,Hub-Regional,ATR72
2453,2021-11-07,BSB,TBT,2.3,317.68,508.29,698.9,Normal,44,79%,Air Regional Connect,Hub-Regional,E195
2454,2020-07-20,BSB,UBA,1.6,351.77,562.83,773.89,Alta,24,50%,Air Regional Connect,Hub-Regional,ATR72
2455,2021-10-02,REC,PVH,1.8,345.6,552.96,760.32,Normal,19,63%,Air Regional Connect,Hub-Regional,E195
2456,2021-03-15,CXJ,SLZ,2.0,337.94,540.7,743.47,Normal,8,61%,Air Regional Connect,Regional-Regional,E195
2457,2020-10-02,SDU,THE,0.9,157.31,251.7,346.08,Normal,21,56%,Air Regional Connect,Regional-Regional,E195
2458,2020-09-17,THE,NVT,2.5,350.44,560.7,770.97,Normal,26,57%,Air Regional Connect,Regional-Regional,E195
2459,2022-10-15,REC,PMW,1.4,362.7,580.32,797.94,Normal,34,81%,Air Regional Connect,Hub-Regional,CRJ900
2460,2023-03-10,POA,PMW,1.1,137.92,220.67,303.42,Normal,35,77%,Air Regional Connect,Hub-Regional,CRJ900
2461,2024-11-09,REC,THE,2.0,251.5,402.4,553.3,Normal,11,72%,Air Regional Connect,Hub-Regional,CRJ900
2462,2020-10-19,BSB,CGB,1.6,329.02,526.43,723.84,Normal,21,67%,Air Regional Connect,Hub-Regional,E190
2463,2019-05-22,POA,SLZ,1.8,265.09,424.14,583.2,Normal,34,84%,Air Regional Connect,Hub-Regional,ATR72
2464,2022-09-21,POA,IGZ,2.2,434.06,694.5,954.93,Normal,30,78%,Air Regional Connect,Hub-Regional,CRJ900
2465,2023-07-03,FOR,SOD,1.4,222.21,355.54,488.86,Alta,5,79%,Air Regional Connect,Hub-Regional,CRJ900
2466,2024-06-16,POA,VIX,1.4,387.51,620.02,852.52,Alta,3,77%,Air Regional Connect,Hub-Regional,CRJ900
2467,2021-10-16,POA,TBT,1.0,180.86,289.38,397.89,Normal,23,63%,Air Regional Connect,Hub-Regional,ATR72
2468,2024-06-15,REC,XAP,2.2,431.66,690.66,949.65,Alta,16,80%,Air Regional Connect,Hub-Regional,ATR72
2469,2021-06-07,POA,SOD,0.9,215.12,344.19,473.26,Alta,22,65%,Air Regional Connect,Hub-Regional,E195
2470,2024-10-20,THE,CGB,1.6,320.29,512.46,704.64,Normal,26,80%,Air Regional Connect,Regional-Regional,ATR72
2471,2022-04-08,THE,TBT,0.9,203.72,325.95,448.18,Normal,42,72%,Air Regional Connect,Regional-Regional,CRJ900
2472,2023-09-23,GRU,BPS,0.8,120.0,200.0,300.0,Normal,34,77%,Air Regional Connect,Hub-Regional,E195
2473,2022-03-14,GRU,BPS,1.6,340.31,544.5,748.68,Normal,18,84%,Air Regional Connect,Hub-Regional,E190
2474,2022-11-03,REC,UBA,1.8,409.81,655.7,901.58,Normal,24,73%,Air Regional Connect,Hub-Regional,ATR72
2475,2019-02-27,POA,SOD,1.6,363.59,581.74,799.9,Normal,31,83%,Air Regional Connect,Hub-Regional,CRJ900
2476,2019-06-10,REC,SOD,0.8,219.09,350.54,482.0,Alta,35,71%,Air Regional Connect,Hub-Regional,E195
2477,2019-02-28,REC,XAP,1.8,367.05,587.28,807.51,Normal,19,73%,Air Regional Connect,Hub-Regional,CRJ900
2478,2022-05-25,REC,CGH,1.4,279.87,447.79,615.71,Normal,33,79%,Air Regional Connect,Hub-Regional,CRJ900
2479,2024-01-26,POA,QDV,2.2,564.47,903.15,1241.83,Alta,9,70%,Air Regional Connect,Hub-Regional,ATR72
2480,2022-06-28,FOR,PLU,1.1,223.81,358.1,492.38,Alta,41,70%,Air Regional Connect,Hub-Regional,CRJ900
2481,2021-08-07,SDU,BPS,2.0,485.04,776.06,1067.09,Normal,41,62%,Air Regional Connect,Regional-Regional,CRJ900
2482,2023-09-26,REC,JPA,1.5,387.22,619.55,851.88,Normal,17,78%,Air Regional Connect,Hub-Regional,CRJ900
2483,2023-06-09,BSB,QDV,1.3,225.7,361.12,496.54,Alta,3,85%,Air Regional Connect,Hub-Regional,E190
2484,2021-02-22,BSB,UBA,2.2,481.77,770.83,1059.89,Normal,40,73%,Air Regional Connect,Hub-Regional,E195
2485,2023-11-24,BSB,XAP,1.2,313.24,501.18,689.13,Normal,39,88%,Air Regional Connect,Hub-Regional,CRJ900
2486,2023-05-27,POA,BPS,1.4,179.6,287.36,395.12,Normal,17,88%,Air Regional Connect,Hub-Regional,E190
2487,2023-06-01,REC,CGB,1.4,366.26,586.02,805.77,Alta,17,90%,Air Regional Connect,Hub-Regional,ATR72
2488,2024-03-17,CGR,THE,1.4,173.28,277.25,381.22,Normal,44,85%,Air Regional Connect,Regional-Regional,ATR72
2489,2022-08-13,CGB,UBA,0.8,132.57,212.11,300.0,Normal,23,89%,Air Regional Connect,Regional-Regional,E190
2490,2024-04-05,POA,CXJ,2.1,428.69,685.9,943.12,Normal,8,87%,Air Regional Connect,Hub-Regional,E195
2491,2023-04-18,REC,SLZ,0.9,120.96,200.0,300.0,Normal,11,73%,Air Regional Connect,Hub-Regional,ATR72
2492,2022-11-01,POA,PLU,2.2,299.47,479.15,658.83,Normal,7,84%,Air Regional Connect,Hub-Regional,ATR72
2493,2024-09-01,FOR,THE,1.8,367.85,588.56,809.27,Normal,37,90%,Air Regional Connect,Hub-Regional,E190
2494,2023-10-21,BSB,VIX,1.9,439.43,703.09,966.75,Normal,23,79%,Air Regional Connect,Hub-Regional,E195
2495,2023-04-06,REC,PLU,1.2,170.42,272.67,374.92,Normal,19,71%,Air Regional Connect,Hub-Regional,E190
2496,2022-10-12,BSB,RBR,0.9,120.3,200.0,300.0,Normal,12,82%,Air Regional Connect,Hub-Regional,CRJ900
2497,2024-07-24,IGZ,TBT,1.3,259.5,415.2,570.9,Alta,14,81%,Air Regional Connect,Regional-Regional,E190
2498,2019-04-05,POA,NVT,0.9,225.02,360.03,495.04,Normal,43,89%,Air Regional Connect,Hub-Regional,E190
2499,2023-01-16,NVT,BPS,1.2,277.31,443.7,610.08,Alta,43,79%,Air Regional Connect,Regional-Regional,CRJ900
2500,2021-04-20,PMW,TBT,1.9,218.08,348.93,479.78,Normal,24,80%,Air Regional Connect,Regional-Regional,CRJ900
2501,2021-04-01,FOR,SLZ,2.1,302.05,483.28,664.51,Normal,41,60%,Air Regional Connect,Hub-Regional,E190
2502,2022-02-01,REC,SLZ,0.9,134.16,214.66,300.0,Normal,43,81%,Air Regional Connect,Hub-Regional,CRJ900
2503,2020-09-10,UBA,JPA,1.2,122.92,200.0,300.0,Normal,9,63%,Air Regional Connect,Regional-Regional,E190
2504,2021-03-12,GRU,CGR,1.1,127.8,204.48,300.0,Normal,37,65%,Air Regional Connect,Hub-Regional,E190
2505,2024-07-10,BPS,RBR,2.4,701.22,1121.95,1542.68,Alta,38,71%,Air Regional Connect,Regional-Regional,E190
2506,2024-06-19,BSB,VIX,1.1,214.43,343.09,471.75,Alta,30,72%,Air Regional Connect,Hub-Regional,CRJ900
2507,2019-05-14,POA,CGH,1.0,153.95,246.32,338.69,Normal,20,88%,Air Regional Connect,Hub-Regional,E195
2508,2024-04-01,REC,THE,2.2,418.88,670.21,921.54,Normal,11,78%,Air Regional Connect,Hub-Regional,E190
2509,2021-03-11,BSB,SLZ,2.1,372.65,596.24,819.83,Normal,42,77%,Air Regional Connect,Hub-Regional,E190
2510,2019-09-10,POA,SDU,1.0,185.59,296.94,408.3,Normal,35,79%,Air Regional Connect,Hub-Regional,E190
2511,2024-12-12,BSB,SDU,0.8,229.91,367.86,505.8,Alta,21,88%,Air Regional Connect,Hub-Regional,E190
2512,2020-05-22,NVT,UBA,1.8,250.76,401.22,551.67,Normal,31,70%,Air Regional Connect,Regional-Regional,ATR72
2513,2020-04-04,VIX,SLZ,1.8,253.35,405.36,557.37,Normal,26,58%,Air Regional Connect,Regional-Regional,ATR72
2514,2022-12-13,FOR,CXJ,2.2,396.32,634.11,871.9,Alta,26,71%,Air Regional Connect,Hub-Regional,ATR72
2515,2023-08-17,FOR,THE,2.3,404.74,647.58,890.43,Normal,23,86%,Air Regional Connect,Hub-Regional,E195
2516,2024-03-24,TBT,BPS,1.3,188.06,300.9,413.73,Normal,22,81%,Air Regional Connect,Regional-Regional,CRJ900
2517,2023-09-17,FOR,CGB,1.3,271.16,433.86,596.55,Normal,11,77%,Air Regional Connect,Hub-Regional,E190
2518,2024-01-04,GRU,QDV,0.9,245.61,392.98,540.34,Alta,44,70%,Air Regional Connect,Hub-Regional,ATR72
2519,2023-12-27,PVH,PMW,2.3,456.16,729.86,1003.55,Alta,9,81%,Air Regional Connect,Regional-Regional,E195
2520,2021-03-26,POA,PMW,1.4,198.85,318.16,437.47,Normal,11,60%,Air Regional Connect,Hub-Regional,E195
2521,2021-12-07,REC,UBA,2.2,510.65,817.04,1123.43,Alta,13,70%,Air Regional Connect,Hub-Regional,ATR72
2522,2022-06-04,GRU,IGZ,1.5,344.49,551.18,757.88,Alta,25,76%,Air Regional Connect,Hub-Regional,E190
2523,2023-10-16,GRU,JPA,1.9,264.52,423.23,581.94,Normal,14,90%,Air Regional Connect,Hub-Regional,ATR72
2524,2023-01-14,FOR,THE,1.8,375.12,600.19,825.26,Alta,10,70%,Air Regional Connect,Hub-Regional,ATR72
2525,2021-10-13,GRU,AJU,1.3,211.12,337.79,464.46,Normal,23,67%,Air Regional Connect,Hub-Regional,CRJ900
